num_pages,ratings_count,text_reviews_count,publication_year,average_rating
152,6569,1722,1995,4.508646531168251
485,30205,4713,1963,4.560278979373276
320,42201,1283,1966,4.056665033236936
156,64423,3821,1988,4.0154728634518815
121,92022,2635,1958,4.255776887150584
750,58167,2392,1955,3.8196669962083742
70,49476,1451,1972,3.6582835904180837
664,45687,2989,2008,4.1947339034457745
171,37076,1807,1995,3.7226256479455926
516,67684,4400,1987,3.9136685251820724
264,78577,4019,1963,4.706774658979863
380,42633,4860,2021,5.0
508,1928,1404,2011,4.216923664411512
137,2017,4291,1984,3.1640536250332
422,20718,1279,1968,3.254856769668416
149,32354,4742,1979,5.0
713,47462,3724,1974,3.8321196171297216
180,20228,539,1989,3.285371159865143
711,59483,3633,1963,4.495789967061814
358,65645,2968,1975,4.575837955363364
393,82280,2924,1971,4.708804963747946
541,88058,4899,1997,3.9755171402762612
463,9965,3601,2000,3.0800942463917944
435,2319,2157,1952,4.941636880805164
241,39909,4583,1991,3.7015228386595913
326,5387,3379,1968,4.379013458552244
210,34487,949,2022,4.585860436426221
509,8612,535,1977,4.263116211481201
363,1442,11,1994,3.6330317166784174
71,63176,384,2020,3.8583760437228785
302,19316,2350,2012,4.292009371299065
797,93170,4015,2022,5.0
610,79867,3062,1968,5.0
524,97929,4658,1996,3.70192711969797
108,26714,2375,1963,3.4433555756118395
560,36358,1535,1987,5.0
731,93889,4486,2002,4.942966556925832
525,42178,1656,2010,4.977080298602532
749,83624,23,1985,3.8237870491803596
239,96673,4609,1989,4.659001218516049
736,12319,2288,1979,4.463933376855447
612,335,3165,1958,4.361900380439109
616,43029,139,2013,4.031655119401558
293,67544,3824,1982,3.368834306124449
554,8667,4943,2001,4.209228755184439
180,70892,3226,1963,3.8610036869434583
534,65541,2948,2002,4.228528391388919
696,84655,3938,2008,5.0
70,73798,2050,1990,4.167415206072826
216,5515,37,2017,4.707204710766393
323,36259,2123,2017,3.5585504219405264
437,44025,1262,1957,4.565257519112198
650,6051,4366,1951,4.984297981587688
365,87488,2056,1990,3.641646547677968
63,8107,4565,2004,3.057213835447337
291,41932,4033,1965,4.077027052273556
395,58696,4406,2011,3.4790129776338046
614,30623,3384,1997,4.650030830998843
389,88961,3476,1979,5.0
141,86840,3091,1961,4.302659177960759
416,15624,3788,1984,3.595618351575456
504,19382,639,1960,3.9658097610112977
477,24030,279,2013,4.567161090536645
558,177,2649,1999,3.0189941735771417
84,20711,2003,1970,4.282562487297389
255,17084,2901,2018,4.312085451773477
130,14160,4967,1997,4.346244527103851
611,83085,3442,1969,3.899868351185329
437,84156,1290,2016,4.849289783719739
51,43403,2370,1993,3.4000065072567622
439,59307,585,1982,3.695360620082865
615,75146,1317,2022,5.0
155,29387,3202,2010,4.624522494598553
526,93809,3188,1958,3.4969868239099426
752,39811,2744,2017,3.695998797164969
